match_id,half,time,scorer,assister,is_og,is_goal_highlight,is_assist_highlight
2026-01-15#1,1H,6:10,Amin,,,,
2026-01-15#1,1H,13:00,Bailey,,,,
2026-01-15#1,1H,14:32,Gio,Bailey,,,
2026-01-15#1,1H,15:40,Lachlan,,,,
2026-01-15#1,1H,16:40,Gio,,,,
2026-01-15#1,1H,19:00,Bailey,,,,
2026-01-15#1,1H,20:15,Gio,Bailey,,,
2026-01-15#1,2H,26:05,Amin,,,,
2026-01-15#1,2H,32:00,Jake,Lachlan,,,
2026-01-15#1,2H,32:40,Lachlan,,,,
2026-01-15#1,2H,35:00,Amin,Richard,,,
2026-01-15#1,2H,37:35,Lachlan,,,,
2026-01-15#1,2H,39:50,Gio,,,,
2026-01-15#1,2H,41:03,Gio,Alberto,,,
2026-01-15#1,2H,45:32,Amin,Jake,,,
2026-01-15#1,2H,46:28,James,Austin,,,
2026-01-15#1,2H,48:40,Austin,,,,
2026-01-15#1,2H,49:20,Lachlan,,,,
2026-01-15#1,2H,50:48,Bailey,Austin,,,
2026-01-22#1,1H,5:25,James,,,,
2026-01-22#1,1H,6:05,Amin,,,,
2026-01-22#1,1H,7:56,Lachlan,Ines,,,
2026-01-22#1,1H,9:24,Jake,,,,
2026-01-22#1,1H,11:30,Austin,Bailey,,,
2026-01-22#1,1H,15:00,Richard,,,,
2026-01-22#1,1H,15:30,Amin,Lachlan,,,
2026-01-22#1,1H,18:10,Gio,Lachlan,,,
2026-01-22#1,1H,20:00,Austin,Bailey,,,
2026-01-22#1,1H,21:03,Richard,Lachlan,,,
2026-01-22#1,1H,22:30,Jake,Bailey,,,
2026-01-22#1,1H,23:50,Bailey,Jake,,,
2026-01-22#1,2H,25:00,James,Alberto,,,
2026-01-22#1,2H,30:18,Jake,,,,
2026-01-22#1,2H,32:44,Lachlan,Amin,,,
2026-01-22#1,2H,38:54,Gio,Richard,,,
2026-01-22#1,2H,40:05,Jake,,,,
2026-01-22#1,2H,42:35,Austin,,,,
2026-01-22#1,2H,44:08,Amin,,,,
2026-01-22#1,2H,45:03,Bailey,,,,
2026-01-22#1,2H,47:40,Alberto,Austin,,,
2026-01-22#1,2H,48:44,Gio,Amin,,,
2026-01-29#1,1H,4:20,Lachlan,Alberto,,,
2026-01-29#1,1H,4:50,Austin,Lachlan,,,
2026-01-29#1,1H,7:00,Gio,,,,
2026-01-29#1,1H,7:30,Amin,James,,,
2026-01-29#1,1H,13:20,James,Amin,,,
2026-01-29#1,1H,16:55,Bailey,Amin,,,
2026-01-29#1,1H,19:05,Amin,Gio,,!,
2026-01-29#1,1H,22:05,Bailey,Richard,,,
2026-01-29#1,1H,23:15,Richard,,,,
2026-01-29#1,2H,26:30,Lachlan,,,,
2026-01-29#1,2H,27:50,James2,,,,
2026-01-29#1,2H,29:05,James2,Austin,,,
2026-01-29#1,2H,33:00,Austin,James2,,,
2026-01-29#1,2H,34:11,James,Bailey,,,
2026-01-29#1,2H,37:30,Jake,Alberto,,,
2026-01-29#1,2H,39:30,Austin,,,,
2026-01-29#1,2H,40:38,Gio,Richard,,,
2026-01-29#1,2H,42:15,Gio,James,,,
2026-01-29#1,2H,44:55,Amin,James,,,
2026-01-29#1,2H,45:38,Gio,,,,
2026-01-29#1,2H,47:35,Bailey,Richard,,,
2026-01-29#1,2H,49:15,Gio,,,,
2026-01-29#1,2H,50:20,Bailey,Amin,,,
2026-01-29#1,2H,51:10,James,,,,
2026-01-29#1,2H,52:50,Amin,,,,
2026-01-29#1,2H,53:42,Bailey,Richard,,,
2026-02-05#1,1H,00:50,James2,Alberto,,,
2026-02-05#1,1H,01:28,Lachlan,Bailey,,,
2026-02-05#1,1H,02:38,Lachlan,James2,,,
2026-02-05#1,1H,03:33,Bailey,Ines,,,
2026-02-05#1,1H,04:05,Austin,Richard,,,
2026-02-05#1,1H,10:03,Lachlan,Ines,,,
2026-02-05#1,1H,12:20,Jake,Austin,,,
2026-02-05#1,1H,12:45,Austin,Jake,,,
2026-02-05#1,1H,13:00,Bailey,Alberto,,,
2026-02-05#1,1H,14:00,James2,Bailey,,,
2026-02-05#1,1H,14:35,Amin,Austin,,,
2026-02-05#1,1H,15:00,Bailey,Lachlan,,,
2026-02-05#1,1H,17:00,Amin,,,,
2026-02-05#1,1H,19:20,Amin,,,,
2026-02-05#1,1H,22:20,James2,Alberto,,,
